"component","bagofwords","transformed_bagofwords"
"org.wordpress.android.mocks.XMLRPCClientEmptyMock","public XMLRPC Client Empty Mock String http User Password void Quick Post Header type Authorization auth Token Object call method params throws Exception return null File temp long Async Callback listener Name Response ","string throw client post return empti listen user void author quick para respons mock except file null token sync callback proxim auto method public header type temp name password call object"
"org.wordpress.android.ui.posts.PostUtilsTest","public void test Collapse Shortcodes String post Content Text before first gallery number text between galleries after second unknown shortcode collapsed Post Utils assert True contains False Spaces arst Equals Opening Closing recipe difficulty easy your here ","string easi code post content true util fals void close short text collaps ymi art space assert unknown public galleri difficulti equal contain recip test"
"org.wordpress.android.ui.posts.ParentCategorySpinnerAdapter","public Count return Objects size Category Node Item position long Parent Spinner Adapter Context context resource List objects super Resource Override View Drop Down convert Group parent Layout Inflater inflater System Service LAYOUT INFLATER SERVICE false Text find category Image level Indicator Level Html from Name Visibility GONE else Params params width ","layout node level context return count list fals els visibl parent para super spinner width convert gone text servic adapt item imag resourc size view categori drop public inflat indic system name posit object overrid"
"org.wordpress.android.ui.posts.PostsListFragment","Override public void Create Bundle saved Instance State super Retain true Added extras Activity Intent Extras null Page Boolean Posts List EXTRA VIEW PAGES View Null Layout Inflater inflater Group container view layout post list fragment false Recycler find recycler Progress Load More progress button Empty empty Title Text title Image image Context context Manager Linear spacing Vertical Resources Dimension Pixel Size dimen reader card gutters Horizontal content margin Item Decoration Build VERSION CODES LOLLIPOP Visibility GONE Click Listener return private init Swipe Refresh Helper Custom Started Network Utils check Connection Refreshing update Message Type NETWORK ERROR request Adapter Word Press Current Blog this Loaded Selected Button Created bundle Resume load VISIBLE long delay Integer integer animation Handler Delayed Runnable scale Duration MEDIUM boolean Suppress Warnings unused Event Main Thread Events Media Info Updated event media Upload Local Table Ended Request Fetching hide Failed else Error error TASK CANCELLED switch case UNAUTHORIZED PERMISSION break default GENERIC Default register Stop unregister Count Available CONTENT Clicked BUTTON PREVIEW full Toast show string found EDIT Launcher edit Result PUBLISH Service start class browse Preview STATS Stats Single Details TRASH DELETE Uploading trash final Trashed undo remove unhide String Draft page deleted trashed Snackbar snackbar make coordinator LENGTH LONG Action Callback Dismissed contains Delete Task execute Remote ","permiss cla thi post unregist boolean save publish listen els break visibl bundl execut dimens scale final super tabl current item imag unus unauthor resum size stop callback public extra fail updat instanc blog preview error messag layout string found version code network info empti count fals page void manag fragment gutter lollipop remot request dime text gone linear remov view medium length connect activ snack recycl creat type dismiss unhidden pre load intent custom anim horizont suppr toast fetch content build handler margin task util list local undo coordin click delay main brows detail durat trash adapt singl upload decor privat integ launcher progress inflat select switch result button default reader draft context gener return pixel true swipe event runnabl card check edit action cancel vertic helper hide stat refresh avail servic resourc intu bar regist null space titl warn word delet thread contain retain start overrid"
"org.wordpress.android.ui.posts.PostPreviewFragment","public static Post Preview Fragment Instance local Blog long Bundle args Activity LOCAL BLOG Long POST fragment Arguments return Override void super Local Create saved State null Save View Layout Inflater inflater Group container layout post preview false find Client client Word Press instantiate Created refresh Added Thread Table final String html Content format Runnable load Data With Base text else Toast Utils show string found start ","layout string found toast client post content save return util local argument fals els void bundl start runnabl rag final fragment format super refresh tabl text instanti view null activ public creat inflat instanc word datum preview blog thread contain base pre load static overrid"
"org.wordpress.android.ui.posts.EditPostActivity","Override protected void Create Bundle saved Instance State super Content View layout edit post activity Preference Manager Default Values this account settings false Show Editor Prefs Visual Enabled final Action action Support null Display Home true Fragment fragment extras Intent Extras String ACTION SEND equals MULTIPLE MEDIA GALLERY POST EXTRA QUICKPRESS quick media BLOG blog Blog Press Word instantiate Local show Error Finish string found return Hidden error hidden current Post Current Table Categories Site Settings Interface Category Format else long local Long POSTID Page Boolean PAGE Original contains STATE ORIGINAL Serializable CURRENT catch Class Cast Exception Abstract EDITOR FRAGMENT instanceof Media Upload Listener Image Loader image track Created Title Utils unescape HTML Name Sections Pager Adapter find pager Offscreen Limit Paging Change Simple public Selected position invalidate Options Menu CONTENT SETTINGS PREVIEW preview Preview Activity Last Start Event register Stop unregister boolean menu Inflater inflater legacy Tags Suggestion Auto Complete Text tags Tokenizer Comma remote Remote Integer parse Number parsed Service Connection setup Suggestions Prepare Items Visible switch Status Enum case SCHEDULED schedule verb break PUBLISHED UNKNOWN Draft publish update default Request Permissions Result request Code Null permissions grant Results LOCATION PERMISSION REQUEST CODE should Location Package GRANTED Search Geotagging search Toast location required Context length Manifest CAMERA DENIED WRITE EXTERNAL STORAGE Receiver Gallery Filter Legacy TOUCHED refresh open access item android home Dialog IMAGE DIALOG Featured Uploads Uploading editor toast uploading please wait Duration SHORT Failed failed uploads Object Publishable empty Save Analytics Network Available network Mode start class RESULT finish Input Method System INPUT METHOD SERVICE hide Soft From Window Decor check Camera Storage Info SELECT PHOTO MENU POSITION Resources select photo Device CAPTURE popup capture VIDEO video gallery LIBRARY from library PICKER picker launch Picture Library Video Selection Back Pressed dismiss Editing private Launch Callback Capture Path Ready Lock Extended Timeout Updates object with content title Spannable Builder Spanned Index Bounds Character Style character Styles Spans remove Html replace strong strike blockquote insert Shortcode File continue Server Source more Description substring index More given description caption Caption Helper Task task Generic Success value Failure Type Message Throwable throwable make failure LENGTH LONG Args Array execute result data Codes TAKE Picker ACTIVITY SELECTION SELECTED Handle Executor Async THREAD POOL EXECUTOR CREATED handle PICTURE Data fetch captured send Broadcast MOUNTED file Environment External Directory Runtime POSTS Memory Empty delete Recorded context intent Handles notifications Used visual when both create after selection Suppress Warnings unused Main Thread Events Succeeded event Pending remaining size Uploaded stop Notification NOTIFICATION cancel Secondary Thumbnail Poster Tracker UPLOAD FAILED again Progress Sync callback Runnable Requests poster clear Grid methods Clicked Retry QUEUED process Queue RETRIED Cancel Changed Requested Auth Header auth token Account Access Private safe Bearer Initialized fill Fields Debug Config DEBUG Java Script line message Crashlytics SPECIFIC format Locale Alert Trackable BUTTON TAPPED UNLINK EDITED BOLD ITALIC ORDERED LIST UNORDERED BLOCKQUOTE STRIKETHROUGH UNDERLINE MORE ","acc window permiss bearer cla thi post unregist script boolean save ital publish listen els abl break visibl bundl underlin execut final quick account unord valu super loader chang receiv fig tabl current interfac imag screen item statu bound unus protect instanti size stop debug callback retri method mode strong origin prefer extra etscap public unknown updat write featur fail path queu instanc pars field blog name preview broadcast grid soft error index picker messag photo object layout string found input thumbnail code network schedul info empti extern fals verb manifest page void setup safe camera manag runtim succ fragment remot tap short request sourc track wait record analyt text prepar dialog environ traceabl touch continu remov view medium invalid length section auto connect descript activ initi pop finish array directori creat type galleri datum remain system secondari option pre tag filter hidden intent captur failur pref comma abstract lock suppr proce queue locat toast throw fetch poster dismi content builder paralyt task util local list succeed notif ava rag click memori main durat adapt span search upload decor privat serial except integ legaci executor alert sync menu requir progress set inflat header display select block bold multipl switch result pictur style extend enabl server posit grant button site line default pleas caption handl specif unlink nnabel draft suggest packag press launch context substr return strike gener true home support event insert con visual runnabl catch pager video librari check edit action format deni cancel hide helper timeout send refresh cast servic storag avail resourc quot regist file categori null token complet titl android mount word limit editor replac warn pool delet equal charact contain thread pend devic fill tracker readi simpl start overrid"
"org.wordpress.android.ui.posts.PostsListActivity","Override public void Create Bundle saved Instance State super Content View layout post list activity Page Intent Boolean Extra EXTRA VIEW PAGES false Toolbar toolbar find Support Action action null Title String string pages posts Display Show Enabled true Home Fragment Manager Post List Posts show Error Dialog Needed Extras Warning Toast Resume Activity track Last POSTS finish Launcher slide Right this boolean Refreshing return Options Item Selected final Menu item android home Back Pressed Save Empty ","layout string toast thi content post press boolean save return empti true list home fals support page void bundl manag final fragment action super track refresh item dialog bar tool slide resum view null menu launcher activ public extra titl finish creat warn android instanc display select option enabl error intent overrid"
"org.wordpress.android.ui.posts.CategoryArrayAdapter","public Category Array Adapter Context context resource List Node objects super Resource Override View position convert Group parent Layout Inflater inflater System Service LAYOUT INFLATER SERVICE false Text find category Image level Indicator Level Html from Item Name Visibility GONE else Params params width return ","layout node level context return list fals els visibl parent para super width convert gone text servic adapt imag item resourc view categori public array inflat indic system name posit object overrid"
"org.wordpress.android.ui.posts.PromoDialog","public static Promo Dialog Instance drawable title description button Label fragment Bundle args Arguments return Override Create saved State dialog super Drawable Title Description Button Window request Feature FEATURE TITLE Canceled Touch Outside false Cancelable View Layout Inflater inflater Group container layout promo void Created view find cancel Text Image image Resources Click Listener ","drawabl layout window save return listen argument fals abl void bundl rag click promo fragment request super static cancel outsid label text dialog imag resourc touch view descript titl public featur creat inflat instanc contain button overrid"
"org.wordpress.android.ui.posts.PostPreviewActivity","Override public void Create Bundle saved Instance State super Content View layout post preview activity Toolbar toolbar find Support Action action null Display Home Enabled true Show Title Local Post Long LOCAL POST Blog BLOG Page Boolean PAGE else Intent Extra false String string page finish Activity Launcher slide Right this boolean Options Menu menu Inflater inflate return Item Selected final item android home Back Pressed edit Result private show Message Necessary Group message container Updating Upload Service Uploading Table Change Draft Visibility GONE Text text local changes explainer draft Publish publish Click Listener Utils animate Bottom Revert revert VISIBLE Analytics Tracker track EDITOR DISCARDED CHANGES Relative Layout Params params Rule LEFT CENTER VERTICAL Margin margins bottom Resources Dimension Pixel Size dimen small buttons Buttons BELOW large INVISIBLE Handler Delayed Runnable Finishing Suppress Warnings unused Event Main Thread Events Started event Progress Ended hide refresh Preview ","thi post boolean save invis publish listen els visibl bundl dimens final para super chang tabl item unus slide size public extra updat instanc center preview blog messag layout string fals page void track analyt gone text rule dime tool view activ finish creat rel option intent anim suppr left content handler margin util local discard explain click delay main upload privat menu launcher progress revert inflat display select result enabl button draft press return pixel true home support event runnabl edit action vertic hide refresh servic bar resourc null titl android warn editor thread contain bottom tracker start overrid"
"org.wordpress.android.ui.posts.EditPostPreviewFragment","Override public View Create Layout Inflater inflater Group container Bundle saved Instance State Activity Edit Post root layout edit post preview fragment false find webview Text textview Tree Observer Global Listener void null load remove this return Resume super Requested Pause Load Task cancel true Preview execute Executor Async THREAD POOL EXECUTOR ","layout paus tree thi post save task return listen true fals void bundl execut fragment edit request super cancel text executor resum observ remov view null sync activ public inflat creat instanc root pool preview thread contain load global web overrid"
"org.wordpress.android.ui.posts.PostUtils","public static String collapse Shortcodes final post Content null contains return short Code Pattern compile Matcher matcher Buffer while find group Known append Replacement else POSTS unknown shortcode Tail ","collaps string tail replac code pattern buffer final null contain post content short compil matcher return unknown public append static els"
"org.wordpress.android.ui.posts.EditPostSettingsFragment","Override public void Create Bundle saved Instance State super Activity null Preference Manager Default Values account settings false View Layout Inflater inflater Group container Post Edit Root layout edit post fragment return Calendar Year YEAR Month MONTH Hour HOUR Minute MINUTE Categories Array List String Excerpt Text find Password password Date Click Listener this Status Spinner status Item Selected Adapter parent view position long update Settings Save Button Nothing Tags tags Section section Featured Image Label featured Network Prefs Visual Editor Enabled register Context Menu show launch Media Gallery else Visibility GONE Page Format Titles Resources array formats Formats aside audio chat gallery image link quote standard video Word Press Current Blog equals Helper Task execute Gson gson Type type Token json from Json size Entry entry Escape Utils unescape Html catch Runtime Exception POSTS simple spinner item Drop Down android dropdown active Empty length Selection Touch boolean Motion Event motion init Fields populate Location menu Info SELECT LIBRARY MENU POSITION string select media library CLEAR FEATURED IMAGE Remove switch case true VISIBLE default private items publish draft pending review adapter created flags FORMAT SHOW DATE ABBREV TIME formatted Time Enum PUBLISHED SCHEDULED UNKNOWN break DRAFT PENDING PRIVATE JSON Keywords blog Local Table Cursor cursor File value First Width Display Metrics width Pixels padding thumb Thumbnail load close Result request Code result Intent data Request Codes TAKE PHOTO VIDEO extras ACTIVITY REQUEST CODE CATEGORIES Extras contains selected Serializable Picker RESULT Integer parse Dialog bundle categories Hash class start category Category location Search remove check Permission search Action action event handled ACTION SEARCH final Shown Alert Builder Positive Interface dialog which Neutral immediately Custom Negative cancel timestamp Updates object with content Added excerpt Timestamp Draft Created Position Changed From Published supports Soft Input hide fetch Coords ","permiss cla thi post boolean save publish listen neutral els break visibl bundl execut final account valu super spinner chang tabl current item statu imag interfac shown size drop unknown public prefer featur etscap extra updat instanc field pars flag blog link curd soft review password picker photo object calendar layout string input thumbnail code network date thumb schedul info empti fals page void abbrev close manag runtim parent fragment request chat gone text overrid hash hmi dialog touch remov view medium length section asid activ array creat type galleri datum root entri pre tag load intent custom pref popul locat minut fetch pad builder content task util list local click time width adapt search timestamp month privat except serial integ alert menu set inflat neg select display switch result enabl posit keyword button default handl draft audio launch escap context return pixel true support event visual start catch video librari check edit action format cancel helper hide label quot resourc intu regist file cursor categori null token metric titl android immedi word editor son equal contain pend standard simpl motion excerpt"
"org.wordpress.android.ui.posts.AddCategoryActivity","Override protected void Create Bundle saved Instance State super Content View layout category extras Intent Extras null load Categories final Button cancel find Click Listener public Edit Text Name name String Slug slug Desc desc Spinner parent Selected Item Category Node trim Position Word Press replace equals Alert Dialog Builder dialog Activity this Title Resources string required field Message Positive Interface which Cancelable true create show else bundle continue TRUE Result RESULT finish FALSE ","layout string trim node thi content builder save listen true fals els void abl bundl parent final click edit cancel super spinner text interfac item dialog resourc continu alert protect view categori null activ requir public extra titl slug finish disc creat instanc select word replac field name equal result pre load intent posit messag button overrid"
"org.wordpress.android.ui.posts.SelectCategoriesActivity","Override public void Create Bundle saved Instance State super Content View layout select categories Title Resources String string Action action Support null Home Button Enabled true Display List find android list Scroll Position Manager false Choice Mode CHOICE MODE MULTIPLE Items Focus Click Listener Adapter position long Checked Count boolean uncategorized Need Selected Category Levels size Name equals Ignore Case Categories Hash extras Intent Extras blog Word Press instantiate Blog Local Toast make Text this found LENGTH SHORT show finish contains Serializable Swipe Refresh Helper Custom Layout Started Network Utils check Connection Base Context Refreshing return refresh populate Available final Result success Finishing Activity adding Duration else failed LONG FAIL category error Gets xmlrpc call result message fetch Message Object params Remote Username Password Client XMLRPC Factory Httpuser Httppassword Method CATEGORIES catch Exception POSTS Pull Parser clear Table Parent parent converted Integer parse insert slug desc update Offset struct description CATEGORY Canonical that Handler post Runnable format value automatically renamed protected request Code data switch case continue TRUE Names Thread Update Results start break Options Menu menu Inflater inflater item bundle class home private Back Pressed ","pull cla thi post boolean save listen user els break bundl choic final para valu super automat convert tabl item instanti size protect proxim method mode public extra fail updat instanc pars scroll name blog error messag password object layout string found code network client count fals void manag succ parent remot short request renam text hash continu view canon length descript connect activ finish creat uncategor datum option base pre focu intent call custom popul toast level fetch content handler util list local factori click durat adapt parser privat serial except integ euser menu disc inflat select display multipl result switch offset enabl strict posit button press context return ignor true swipe home support insert runnabl catch check action format helper refresh avail resourc categori null titl slug android word equal thread contain start overrid"
"org.wordpress.android.ui.plans.RemoteTests","Override public void Error Response Volley response PLANS Rest Client returned error from mock call Message assert False true test Global Plans throws Exception Request Abstract Listener listener parse JSON Object plans Array original length current Equals size Description Jetpack free speeds your site images secures enables traffic customization tools Product Name Free Bill Period Price Cost Available Everything included with Premium well live chat support unlimited access premium themes Word Press Business make Method POST https wordpress rest null Site names String Long value Discount Formatted Slug True Current Start Trial bundle business sites Features features Title blog Your space create posts pages basic false Part Support those times when find answer Find answers questions community forum Community kind offer Priority security ","acc post plan listen rest bundl jet valu current imag secur volley size cost method assert public origin featur bill pars name blog error speed messag object string live client fals page void commun request traffic question chat tool ymi busin pack length descript period array creat premium pre offer call custom free abstract throw includ prioriti discount time forum except answer trial enabl test global site product return true support unlimit format respons basic avail mock theme null space titl slug word son equal price start overrid"
"org.wordpress.android.ui.plans.PlanFragment","public static Plan Fragment Instance Site site fragment PLANS return Override void Create Bundle saved State super null contains SITE Serializable serial instanceof View Layout Inflater inflater Group container final root layout plan false Container Linear find Resume refresh Save ","layout plan save return fals void bundl final fragment super refresh linear serial resum view null site public creat inflat instanc root contain static overrid"
"org.wordpress.android.ui.plans.PlansActivity","Override public void Create Bundle saved Instance State super Content View layout plans activity null Local Blog LOCAL TABLE BLOG Serializable serializable AVAILABLE PLANS instanceof Site Plan Available Plans else Intent Extra Word Press STATS blog with local cannot loaded from Toast make Text this string loading error LENGTH LONG show finish return Pager find viewpager Layout Toolbar toolbar Support Action Navigation Click Listener Back Pressed action Title String Elevation Display Show Enabled true Home Change Simple Selected position update Purchase Prefs Billing start Helper Progress Update Service setup Pause Event Default unregister private site Adapter global Utils Global Product unable match boolean Button Current false long current Table compare Products GREATER PRODUCT Group frame purchase container Price text price Process Visibility VISIBLE animate Bottom Target Build VERSION CODES LOLLIPOP reveal Tree Observer remove Point Pixel Size Activity float Radius Math hypot center Animator Animation create Circular Reveal Duration Resources Integer android integer config Time Interpolator Accelerate Suppress Warnings unused Main Thread Events Updated event updated different size Array Arrays sort Comparator select Failed Options Item Menu item home Config LICENSE DEBUG enable Debug Logging Setup Finished Result result Success started successfully failed catch Null Pointer Exception Unable helper ","paus thi unregist boolean save plan listen acceler els visibl bundl super chang fig tabl current item math unus size debug public extra fail updat bill instanc center blog error layout string version code fals setup void licens succ interpol lollipop text tool remov view length activ purchas finish array creat float option target pre load intent pref anim proce suppr toast tree hypo content build util local frame click time main circular pointer durat adapt privat serial observ integ except menu progress display select result elev enabl global posit button site compar default navig radiu success product press sort return pixel true home support event con catch pager action helper stat avail servic bar resourc log null unabl titl android warn word thread contain bottom match reveal price simpl start overrid"
"org.wordpress.android.ui.plans.PlanPostPurchaseFragment","Override public View Create Layout Inflater inflater Group container Bundle saved Instance State root layout plan post purchase fragment false Image image find Text Title text title Description description Button button Resource drawable penandink This nice deserves respected Press Click Listener void Toast Utils show Context never listen return ","drawabl layout toast thi post save plan context return listen util fals void ernandina bundl click fragment text imag respect resourc view descript titl public purchas inflat creat instanc root contain nice pre deserv button overrid"
"org.wordpress.android.ui.plans.PlanUpdateService","public static void start Service Context context local Table Blog Intent intent Plan Update class Extra LOCAL BLOG stop null return Override Binder Create super PLANS plan update service created Destroy destroyed Start Command flags Local Active Requests download Global Plans Features Available Site START STICKY private Word Press Rest Client Utils plans Locale Params Listener Response JSON Object response String Prefs request Completed else Empty downloading global Failed Error Volley volley features Unexpected empty from server when Loading remote Remote sites clear Array names length current Long value catch Exception parse list returned UTILS ","pref string cla client destroy context plan return listen util local empti list rest els void start catch download para remot request super valu respons tabl servic avail unexpect current privat except volley stop null command length complet activ site public extra featur fail updat array creat word pars flag blog sticki binder son name pre load server error intent global object static overrid"
"org.wordpress.android.ui.plans.PlanEvents","",""
"org.wordpress.android.ui.plans.PlansUtils","Returns price passed plan formatted user locale defaults matched TODO endpoint will updated include this method temporary public static String Plan Display Price Null device Currency Code null currency Instance Locale Default Symbol Value Hashtable Integer prices Prices contains return Format Utils else DOLLAR SYMBOL CODE Nullable Global long List plans Plans size current Product Feature Features features Prefs Text Empty JSON Object Array original Response length Slug catch Exception PLANS parse list returned from server image display param global icon Size desired string containing photon ized Icon Photon Image compare Products LESSER PRODUCT EQUAL GREATER Removes stored data testing purposes Suppress Warnings unused void clear Data ","pref string default compar product code suppr pass photon store thi includ plan return empti util local list endpoint user purpos els abl void currenc catch para format valu respons tabl current hash text imag unus desir symbol except integ size zed remov null temporari lesser length method icon dollar public featur origin slug updat array warn instanc display pars datum son equal contain test server devic match global price object static"
"org.wordpress.android.ui.plans.PlanPostPurchaseActivity","Override public void Create Bundle saved Instance State super Content View layout plan post purchase activity Skip Text find text skip Next next Indicator Container Group indicator container Pager viewpager Change Listener Simple Selected position Prev Number update Buttons Adapter Click finish goto PAGES private boolean Current final Image Drawable background drawable circle selected unselected Property Values Holder scale Float SCALE Object Animator anim Duration Interpolator Accelerate Repeat Count Mode REVERSE Animation animation Background Resource start else image ","drawabl layout anim object content post boolean save plan listen acceler count skip page void els bundl rev revers start pager final click scale interpol valu super unselect chang durat text current adapt imag properti resourc circl holder privat repeat view goto background mode activ public purchas updat finish creat instanc select indic aim float contain posit simpl button overrid"
"org.wordpress.android.ui.plans.PlansConstants","",""
"org.wordpress.android.ui.accounts.EmailCheckerIntegrationTest","public void test Integration Email Checker email suggest Domain Correction assert true ","void true email integr suggest checker domain assert public test correct"
"org.wordpress.android.ui.accounts.HelpActivity","Override protected void Create Bundle saved Instance State super init Helpshift Layout Action action Support null Home Indicator drawable close white Button Enabled true Display Elevation Text View version find help String string Word Press Name applog button Click Listener public start Activity Intent Context Viewer class boolean Options Item Selected final Menu item android home Back Pressed return finish Launcher slide Right this private Content layout activity with helpshift contact extras Extras origin ORIGIN UNKNOWN Helper Meta Data Metadata USER ENTERED Sign Fragment USERNAME show Conversation faqbutton ","drawabl layout string version apolog cla press thi content sign boolean save context return listen true home support user void bundl close start final click fragment action super helper text shift item intu slide privat protect view null menu launcher metum activ origin public extra unknown white convers finish help creat android instanc display indic word select datum option name pre elev enabl viewer intent enter contact button overrid"
"org.wordpress.android.ui.accounts.NewBlogActivity","Override public void Back Pressed Blog Fragment Signout Cancel Mode else super ","void blog fragment press sign cancel super mode public els overrid"
"org.wordpress.android.ui.accounts.SignInFragment","public Sign Fragment Email Checker Override void Create Bundle saved Instance State super null Self Hosted Boolean SELF HOSTED View Layout Inflater inflater Group container root layout signin fragment false Button Relative find button Step factor Footer Linear step footer Username username Click Listener Login Form Password password Edit Text Changed this Jetpack Auth Label jetpack auth label Progress progress text Account create account selfhosted toggle Mode show Forgot forgot Focus boolean autocorrect Editor Action Code Event event KEYCODE ENTER Info ACTION DONE fields Filled return Html from String string request Bottom Buttons bottom buttons init Visibility move Resume Utils Empty GONE true Hide with Word Press edit force VISIBLE Configuration private info Intent intent Activity Help class Extra ENTERED USERNAME Helpshift Helper ORIGIN LOGIN SCREEN HELP start Image Secondary secondary Blog Custom Message blog custom activity Launcher Result tapped link VIEW parse action else Done finish Current final Object Added Thread Runnable RESULT Success Blogs Http refresh First Five Content track Analytics Reader Update Service Application Context Enum Task TAGS Stats Widget Provider update Widgets Rest Client Request Response JSON json Primary Error message Required http erroneous Certificate client Trust Credentials Tracker FAILED Resources required Fetch login Should Send execute Abstract Callback fetch error after Editable before Char Sequence Enabled Signed Certs Manager Generic Void callback Alert Dialog Builder alert Title authorization Positive Interface dialog which Negative cancel Save ","cla thi forgot sign boolean save listen user rest els visibl bundl author execut jet final account forc super chang shift screen imag current sequenc interfac move resum cert callback self mode origin public extra fail updat host instanc field email pars name blog link widget error password factor messag object login layout string code key client trust info empti fals void form manag succ fragment tap erron request track analyt gone text dialog linear view pack applic auto activ finish help creat rel secondari root pre focu tag intent toggl custom abstract fetch content builder task util five credenti click privat alert menu launcher requir progress inflat neg result enabl enter posit button reader context gener return true footer correct event primari runnabl configur edit action cancel hide helper respons label stat refresh servic send resourc intu null char certif titl word editor step son thread contain bottom checker provid fill tracker start overrid"
"org.wordpress.android.ui.accounts.NewBlogFragment","public Blog Fragment Override void after Text Changed Editable before Char Sequence start count fields Filled Signup Button Enabled true else false Signout Cancel Mode boolean mode Visibility View VISIBLE return Back Pressed signout Finish private validate Create User System Service Active Network Info null Alert Utils show Activity string network title message Data Valid Progress String validating site data final Site Field trim Name Title language Device Language Resources create Rest Client Error Listener Callback Step Finished step update blog wpcom Success JSON Object Response details blogname xmlrpc home blogid username Account Helper Default Update Plans Constants DEFAULT PLAN BLOG Toast created catch Exception Invalid response from Result RESULT finish tries Process Layout Inflater inflater Group container Bundle saved Instance State root layout fragment find signup button Click cancel progress text Relative this Editor Action Watcher Focus Auto Complete equals Empty Code Event event action Done ","thi sign boolean plan save listen user rest els visibl bundl final account chang sequenc callback proxim mode valid public updat field instanc fill blog name error messag object string layout code network client info empti count fals void succ fragment constant text view invalid auto activ finish creat rel datum root system focu proce toast util click detail privat alert except progress watcher inflat result enabl button site trim default press languag return true home event catch edit action cancel comp respons helper servic resourc tri null char complet titl editor son equal contain devic step start overrid"
"org.wordpress.android.ui.accounts.BlogUtils","Remove blogs that list others TODO horribly slow datastructures used List should replace Hash specialized Blog class supports comparison return true change been made added updated deleted public static boolean sync Blogs Context context String Object username Value Word Press dotcom Flag null xmlrpc blogid contains Integer parse Stats Table selected database password http Username Password false Name Utils unescape HTML home Visible Bool Admin long plan Long Short product short Update Check urls validity param there least invalid Invalid Xmlrpc Valid Host Null local Return Database Home Httpuser Httppassword Image Placement Full Size Width DEFAULT IMAGE SIZE Remote Dotcom Version Hidden Plan save else Local Updated instantiate equals catch Exception found value BLOG INVALID final ","string default found curl product version cla bolo adman placement boolean context plan return special save true list util fals support user home local els visibl catch final para check remot short valu chang width stat com tabl hash imag horribl integ remov size instanti except slow sync null euser invalid proxim valid databas public etscap updat comparison structur host word datum replac dot pars delet flag blog name select contain equal pre hidden password object static"
