"sentence","category"
"post upload failed : An error occured while uploading the post ""  Even if the post contain just a heading and 3 lines of content ( no media files ) the result is same.","PROBLEM DISCOVERY"
"For gods sake , plz fix this bug ASAP.","PROBLEM DISCOVERY"
"It's a blog and photo album for me!","OTHER"
"It's connected to most of my social networks so I can get my work out there quickly ^_^ easy to use too","OTHER"
"Tha hle mai","OTHER"
"Creating blog very easy .","OTHER"
"Thank u word press","OTHER"
"Was finalizing my blogpost with a video when it says erro:, file not accepted.","OTHER"
"Wtf?!?","OTHER"
"I guess I can't put up a profile picture.that sucksdoes anyone know how to upload a profile picture because this app won't let me","PROBLEM DISCOVERY"
"I love this app so much.","OTHER"
"Easy to use and working so good","OTHER"
"Every time I schedule a post it publishes it that minute anyway.","OTHER"
"I love the app but that bugs me so much fix please!!","OTHER"
"is fun","OTHER"
"Can't sign in, keeps putting me on time out:/ and when I hit back, my blog comes up, but can't do a thing with it.","PROBLEM DISCOVERY"
"Sad","OTHER"
"I love this app and it allows me to do a lot with all the sites that I manage.","OTHER"
"There's is one major feature missing from the app and that's the ability to sync/backup the site list.","OTHER"
"Every time I have to reset my phone or I get a new device I have to manually add back all my self hosted websites.","OTHER"
"I have been having problems with uploading images.","PROBLEM DISCOVERY"
"The layout is also pretty glitchy on this phone.","OTHER"
"I used my HTC One M7 without a problem before, I think it's the phone.","OTHER"
"Just let us write more pages( PLEASE!!)","OTHER"
"Does everything you would need in terms of managing your WP site on the go.","OTHER"
"Good stuff.","OTHER"
"Energy & Relax","OTHER"
"Makes blogging easier","OTHER"
"Love it","OTHER"
"The app is amazing but the latest update has made it really tough to publish a post, I have even faced deletion of a few of my writings.","OTHER"
"Please see to your application and the problems.","OTHER"
"I've had to re-write and upload my pictures three times after publishing a post.","OTHER"
"Please sort this issue out because it's time consuming and very unpleasant to deal with","OTHER"
"Good","OTHER"
"Love it","OTHER"
"It's okay.","OTHER"
"I just can't login my account.","PROBLEM DISCOVERY"
"N my WordPress site works very vell with my pc","OTHER"
":p","OTHER"
"Love ra","OTHER"
"Amazing .","OTHER"
"Niceapp really","OTHER"
"It worked fine until I got my new phone.","OTHER"
"Now I can't get anything to even come up.","PROBLEM DISCOVERY"
"A typical worthless error comes up: "" an error occurred while accessing this blog"".","OTHER"
"No s***, Sherlock.","OTHER"
"If you tell me what the error is, I might be able to fix it.","PROBLEM DISCOVERY"
".","OTHER"
"very easy to use !","OTHER"
"User friendly.","OTHER"
"It was lam I could not follow my friends I could not Evan find search","PROBLEM DISCOVERY"
"I would like to know where my post is @ [+]to be able to get people to see it, & email me to let me know there thoughts about it.","INFORMATION SEEKING"
"!!!","OTHER"
"Shows only 2 out of my posts!","OTHER"
"Where are all others?","INFORMATION SEEKING"
"Then, trying to open a post, another error.","OTHER"
"Won't open the site at all with stupid security message.","PROBLEM DISCOVERY"
"Totally unusable now.","OTHER"
"Not even 5%.","OTHER"
"Not even viewing postes.","OTHER"
"Why put a non working app on google play?","INFORMATION SEEKING"
"Why misleading the users?","INFORMATION SEEKING"
"Hii","OTHER"
"LOVED IT","OTHER"
"Cool!","OTHER"
"Fahim","OTHER"
"Latest updated screwed up.","OTHER"
"On E4g: Slow typing, cursor unpredictable making backspace disastrous, and inability to save a post making typing futile","OTHER"
"The new update of app is quite impressive because its quite similar to web and easily accessible.","OTHER"
"!","OTHER"
"Love the change.","OTHER"
"!","OTHER"
"Worst app I have ever tried to use.","OTHER"
"It will not even let me upload, all I get is an error message that I was not authorized to do that.","PROBLEM DISCOVERY"
"I was able to upload to the site without the app so why not with the app.","OTHER"
"Would love to know.","OTHER"
"Awesome.very nice","OTHER"
"Ma ke rog khoub Kore chuda","OTHER"
".","OTHER"
".","OTHER"
"I feel so comfortable blogging","OTHER"
"Good","OTHER"
"Samsung Galaxy s6","OTHER"
"Hatdcore","OTHER"
"It's very hit and miss with updates.","OTHER"
"After the latest update I suddenly got media library errors.","PROBLEM DISCOVERY"
"Posted several times one day, no problems, updated, media errors.","OTHER"
"This sort of random error thing has happened before.","OTHER"
"The app makes so many connections my IP address gets blacklisted.","OTHER"
"The app has gone worse.","OTHER"
"Why did you do this?","INFORMATION SEEKING"
":( Regretting updating it.","OTHER"
"It just closes down between the function.","OTHER"
"Also, I can't update and reschedule my posts.","PROBLEM DISCOVERY"
"Nothing!","OTHER"
"Fix it please.asap","OTHER"
"NiceApp","OTHER"
"It will be nice if we can have a stats widget but in general great app thx","FEATURE REQUEST"
"Unstable.","OTHER"
"Constantly aborts.","OTHER"
"Unusable.","OTHER"
"Good But Html Codinga?","OTHER"
"admin manager?","OTHER"
"plz some update","OTHER"
"Dear developers.","OTHER"
"Any way to install the noorinastaleeq fonts.","OTHER"
"?","OTHER"
"I mostly use this to keep track of my stats and likes.","OTHER"
"I can't imagine writing all of my posts on such a small screen, but I've browsed through the interface and used it a couple of time for very short posts.","PROBLEM DISCOVERY"
"It's very fluid and responsive and appears to provide almost all of the function of the online site!","INFORMATION GIVING"
"Good for people that always want to keep an eye on their blog.","OTHER"
"Type &lt;3 in local copy is super ultra impossible.","OTHER"
"Save change and &lt;3 turn into some HTML code T_T Please fix this, this app is OK","PROBLEM DISCOVERY"
"I'm sure with my pass & email but it can't log me in.","PROBLEM DISCOVERY"
"so dissapointing.","OTHER"
"Comforable to use","OTHER"
"My request to all people's the app word press is the best application and web site.","OTHER"
"So please love it and installed it.","OTHER"
"Good Job.","OTHER"
"Coooooooool","OTHER"
"Good job,,I can make my own website within a few minutes,,But i couldn't change my dp .","PROBLEM DISCOVERY"
"It looks good but when your trying to do something like upload a new profile picture nothing happens!","OTHER"
"I hope you fix it for the sake of future installers but i can't waste my time.","INFORMATION GIVING"
"I'm going to uninstall!","OTHER"
"Very Good","OTHER"
"The app was working perfectly fine until the recent update, I don't know why the multi select pictures function allows me to multi select but there's no options to post it?","INFORMATION SEEKING"
"I had to manually post one by one.","INFORMATION GIVING"
"And I moved from blogger to wordpress for this function","OTHER"
"Khankaki","OTHER"
"I still can no longer choose what blog I want to post to from the share button.","OTHER"
"Love it!","OTHER"
"Simple yet good","OTHER"
"App is very good but sometimes it break down.","OTHER"
"Showing as 'unfortunately,wordpress has stop'  so please improve it.","FEATURE REQUEST"
"!","OTHER"
"Love it","OTHER"
"Interesting","OTHER"
"I'd love to have a ""quick draft"" widget.","OTHER"
"Otherwise, good app, enables me to manage my blog on the go easily.","OTHER"
"Easy to use interface.","OTHER"
"Love  it","OTHER"
"Helpful","OTHER"
"Awsome","OTHER"
"My only complaint is that when I schedule a post it does not post when I scheduled it.","OTHER"
"So please fix I have my posts linked to Facebook so when it does not work right all my Facebook viewers see post that I scheduled for 7:00 in the morning at 7:00 in the afternoon.","PROBLEM DISCOVERY"
"So please fix.","PROBLEM DISCOVERY"
"Thank you :-)","OTHER"
"I wish that I could give this negative 100 stars.","FEATURE REQUEST"
"I hate the set up I hate you have to go through so much to get your drafts or posts synced to the desktop and I literally hate this app because my local draft just erased and now I can't get it back.","PROBLEM DISCOVERY"
"The first thing I noticed was how slow this app is on my Note 3 phone.","OTHER"
"Hardly any of my other apps are anywhere near this slow.","OTHER"
"Okay, so maybe the server is just sluggish.","OTHER"
"I like this interface.","OTHER"
"It lets me type, but that's about it.","OTHER"
"It has an image upload feature, but the file browser never even launched.","OTHER"
"Uninstalled.","OTHER"
"Easy to use","OTHER"
"This app is awesme guy's .","OTHER"
"Excellent performance.","OTHER"
"Couldn't access my site.","PROBLEM DISCOVERY"
"As useful as a chocolate fireguard","OTHER"
"Love it so much","OTHER"
"A ""must"" for all.","OTHER"
"I rely on this app to communicate.","OTHER"
"Wordpress itself is great, but the app will delete an entire post, losing me hours of time and energy, if I back out or answer a call while the post is loading.","OTHER"
"It appears to do no cached versions, so everything is lost.","OTHER"
"It doesn't even do a ""you just said to save a blank post instead of the 1000 word 12 photo one you had, is that on purpose?""","PROBLEM DISCOVERY"
"I do save every once in a while, but it doesnt matter with this issue, it saves over.","OTHER"
"Back up your stuff on another app.","OTHER"
"Tight work","OTHER"
"Great for blogging","OTHER"
"This version doesn't allow me to browse on device media!","OTHER"
"Check mine out; keepmehealthy800","OTHER"
"Can help","OTHER"
"Spent an hour writing a blog.","OTHER"
"I attached 1 small video and 7 pictures.","OTHER"
"Clicked upload and 5sec later phone was sluggish and unresponsive.","OTHER"
"An hour later on ultra high-speed Korean 4g LTE+, the phone was still unresponsive and the app still said uploading.","OTHER"
"Had to restart phone.","OTHER"
"Went back to app, clicked local copy then edit.","OTHER"
"Blog was there for 3sec then went blank.","PROBLEM DISCOVERY"
"Had to rewrite.","OTHER"
"Same issue again when I tried to post.","OTHER"
"5hrs and 3 rewrites later, blog was still not uploaded.","OTHER"
"Worst app I've ever delt with.","OTHER"
"This app is awesome as we can manage the wordpress blog even from a mobile.","OTHER"
"But the notifications are sometimes missing and some notifications in between last session and current session are missing.","FEATURE REQUEST"
"Sometimes there is also a sign-out problem.","PROBLEM DISCOVERY"
"I really admire this app.","OTHER"
"Just need slight modifications.","INFORMATION GIVING"
"Thank you developers for such great work.","OTHER"
"Next update should be a 5 star-er.","OTHER"
"Nice","OTHER"
"When checking the Blogs I follow, it only shows me today's posts and the posts from the last time I opened the app.","OTHER"
"It skips what's in-between.","OTHER"
"Keeps going back to main page when I am on the dashboard.","OTHER"
"Not user friendly.","OTHER"
"Everytime I try it on my phone I prefer opening the laptop and making my WordPress experience less frustrating.","OTHER"
"The PC version is sleek.","OTHER"
"Not particularly impressed with the new update.","OTHER"
"Its so tight.","OTHER"
"Too much going on all in one space.","OTHER"
"And I can't upload pictures anymore.","PROBLEM DISCOVERY"
"Not liking it","OTHER"
"It makes our work easy.","OTHER"
"I rarely write reviews on apps, and I understand that The performance of said app depends on my device also.","OTHER"
"Before this last update, the app worked fine.","OTHER"
"Since the update, I go in to write a post and as I rotate my device to landscape mode, the app returns to the previous page.","OTHER"
"Dear Developer, is there a fix for this?","INFORMATION SEEKING"
"Editing needs help.","OTHER"
"Unbelievable Exelent job well done","OTHER"
"SAXAFI","OTHER"
"Not that cool","OTHER"
"If Android has a better blogging app (1) What is it?","INFORMATION SEEKING"
"(2) Why is it better?","OTHER"
"Only thing is I would occasionally like to have video in my posts, but I also understand that not everything can be free all the time.","FEATURE REQUEST"
"Simply the best.","OTHER"
"Created a draft, attached some pictures.","OTHER"
"Came back to it a few hours later, everything was messed up!","OTHER"
"What's the point?","INFORMATION SEEKING"
"It's very good.","OTHER"
"Unfortunately, my anti-virus would always say there's a virus in the app.","OTHER"
"I keep on uninstalling and installing it.","OTHER"
"It's very useful, so I had to install it and wait for the security to send a warning again.","OTHER"
"Find it accessible and efficient.","OTHER"
"Awesome app,  blogging on the go has never been this easy","OTHER"
"Every time I try and log in it does not recognize me.","OTHER"
"Very annoying.","OTHER"
"Uploading photos is slow and painful and makes my phone and tablet unresponsive.","OTHER"
"I want to love this but I'll stick with the website version.","OTHER"
"Nt downloading wella","OTHER"
"B","OTHER"
"The creators' commitment to open-source allows for some truly personal and innovative blogs and folios.","OTHER"
"For my purposes, it's probably the only thing succeeding old MySpace at the moment for an online haven.","OTHER"
"Been saying this for Years.","OTHER"
"Why does the editor show actual formatting when I create a new post, but show html formatting codes when i edit the post later?","INFORMATION SEEKING"
"This is very annoying.","OTHER"
"Taking forever to install.","OTHER"
"Restarted my Tablet but still shows ""Installing""","OTHER"
"Was very frustrating for first time use.","OTHER"
"If it turns out to be a learning curve, I'll up the score.","OTHER"
"But it kept losing my text and freezing up when I tried adding an image.","FEATURE REQUEST"
"Took five tries to get it posted.","OTHER"
"Not happy right now.","OTHER"
"Site is used to affiliating marketing","OTHER"
"Add font size options in post writing.and sum more useful content writing settings.","OTHER"
"After the updates switching between categories/tags are difficult.","OTHER"
"One always has to go back scrolling to the top to change it","FEATURE REQUEST"
"Adding a new account will automatically delete whichever account that is not active/being used.","FEATURE REQUEST"
"Plusses: Convenience of working from my phone; good notifications.","OTHER"
"Minuses: Somewhat unintuitive (when am I really saving?)","OTHER"
", sometimes I get unexpected line breaks when composing.","OTHER"
"Please fix this.","PROBLEM DISCOVERY"
"Its still downloading hope it will work","INFORMATION GIVING"
"Works great","OTHER"
"I am having troubles uploading blog posts, often after it uploads everything it says error and in fact uploads nothing.","OTHER"
"Also deleted my whole post - twice.","OTHER"
"Scared to use it without backing up elsewhere anymore.","OTHER"
"Cool.","OTHER"
"I wrote an entire post that took several hours on this application and when I published it, it deleted the entire thing and published a completely blank post.","OTHER"
"I'm horribly annoyed and can't believe I ever wasted my time with such an awful blogging service.","PROBLEM DISCOVERY"
"While everything else seems fine and functional with the newest version I've noticed that it shows my blog as having about 2099 posts while I have over 2200.","OTHER"
"The comment counter is also far off and the categories.","OTHER"
"It would be great to see this aligned properly for reference.","FEATURE REQUEST"
"UPDATE: It's been over a year and some revisions that I pointed this out and its still not a rectified issue.","OTHER"
"Now the blog has over 3100 posts and yet the app shows 3060.","OTHER"
"Otherwise I really like this app as its quite helpful.","OTHER"
"Can't Login My Self hosted Sight","PROBLEM DISCOVERY"
"Great for trolling and nothing more.","OTHER"
"Its not work multi select photo, pls help","OTHER"
"This app wouldn't let me blog or open anything eles worst app I've ever had the only thing that works is this dis like button","OTHER"
"Wow.","OTHER"
"Nice its a really good and perfect","OTHER"
"Works nice","OTHER"
"I Use browser instead, uninstalled.","OTHER"
"Very good way for blogging","OTHER"
"Latest update renders this app useless.","OTHER"
"It won't even connect to my blog.","PROBLEM DISCOVERY"
"Nothing works, cannot view stats, reader, anything.","PROBLEM DISCOVERY"
"I've uninstalled, reinstalled, restarted phone, logged back in, all for naught.","OTHER"
"It was bad before but now it's non-functioning, therefore useless.","OTHER"
"Amayzing app","OTHER"
"So nice.","OTHER"
"It would be nice to be able to search things in people's blog since the tags/labels don't show up on this mobile app","FEATURE REQUEST"
"Hi","OTHER"
"Ellen","OTHER"
"Love it","OTHER"
"Patel","OTHER"
"Jigsaw","OTHER"
"Wouldn't work on my note","PROBLEM DISCOVERY"
"Its good","OTHER"
"I like better the older version :-(","OTHER"
"This is actually nice.","OTHER"
"Still learning tho.","OTHER"
"Hope it gets better","OTHER"
"Akuntansi keuangan","OTHER"
"Please add the ability to edit as Visual and not only through HTML - it mostly no usefull even if i know html","OTHER"
"So far so good, seems to do what I need to on the go, except neither if the media uploaders work in the app Galaxy S5.","FEATURE REQUEST"
"Both browser and multifile work in chrome though?","OTHER"
"Good","OTHER"
"Perfect blogging app","OTHER"
"Amaw","OTHER"
"Lovevit 5 stars","OTHER"
"Can't switch sites.the other site doesn't even show up","PROBLEM DISCOVERY"
"Asus ME301T tablet.There are other  issues.Otherwise a super App.","PROBLEM DISCOVERY"
"Simply deletes your stuff and doesn't sync with server.","OTHER"
"Truly rubbish!!!!!","OTHER"
"Was brilliant now a bit crap.","OTHER"
"I have 2 self-hosted sites.","OTHER"
"I can add both to the app and make posts however the main use I have for the app is stats which I can see one sites stats but not the other and I end up in an endless loop of logging in to my wordpress account to connect to jetpack.","FEATURE REQUEST"
"Needs an update.","OTHER"
"Problems in uploading photos.","OTHER"
"Best app available for editing websites","OTHER"
"Android 5.1.1   Iran   Lollipop .","OTHER"
"When you hit send it simply deletes the comment","OTHER"
"Nice document.","OTHER"
"Highly useful in my official work carrer","OTHER"
"Sale / Purchase / Construction in Islamabad and Rwp.","OTHER"
"I couldnt scroll down when I clicked a notif for a comment.","PROBLEM DISCOVERY"
"Pls pls pls fix it  this is so trouble cs I couldnt read a new long comment from ma beloved readers in wordpress app","INFORMATION GIVING"
"Can be made more user friendly.","OTHER"
"Thanks","OTHER"
"Please add search menu for find post to quick edit","FEATURE REQUEST"
"Very handy and effective for me.","OTHER"
"specially when i want post update on the way without my laptop.","OTHER"
"helpfull doing on my Zenfone 4.","OTHER"
"works great.","OTHER"
"ps: please add button/setting for the featured image and i'll give ***** for you.","OTHER"
";-)","OTHER"
"Why it keeps saying ""unable to follow this blog"" while I totally can do it via laptop.","INFORMATION SEEKING"
"Please support Persian language completely.","OTHER"
"Cannot add an image and now I m having a problem to view it in web","PROBLEM DISCOVERY"
"When installing, it says ""Invalid Package"" I need this app to start my blog.","OTHER"
"Very Good App!","OTHER"
"Very happy with the new update much better","OTHER"
"Great app","OTHER"
"I want to use plug-ins like visual composer, slider revolution etc","OTHER"
"I have an account but wont see it","OTHER"
"Thanks","OTHER"
"This app saves me putting on my desktop PC to blog - and the update means that I can use photos from my device as well as from my WP library","INFORMATION GIVING"
"Jb","OTHER"
"Informasi","OTHER"
"Uploading images or media fails","PROBLEM DISCOVERY"
"Bloggers keep sharing!","OTHER"
"Everything runs really slowly!","OTHER"
"Menus overlap and corrupt the screen making it difficult to get along at pace.","OTHER"
"Just about functions on Nook HD+.","OTHER"
"So amazing","OTHER"
"I can't find like button","PROBLEM DISCOVERY"
"I don't know what happened.","OTHER"
"Just noticed today that it's been infected with a virus.","OTHER"
"I uninstalled then installed again, still the same issue.","PROBLEM DISCOVERY"
"I had to uninstall this.","OTHER"
"Let me know what to do cos I love using this app.","OTHER"
"Thanks.","OTHER"
"it","OTHER"
"All I can see if I want to edit my blog post is a nasty HTML window.","OTHER"
"I don't want to have to mess about with HTML in order to edit a draft.","INFORMATION GIVING"
"This is a terrible app and basically useless to me.","OTHER"
"I'm better off just making a note in Evernote and leaving publishing anything until later.","OTHER"
"Garbage, this is one of the worst apps I've ever seen.","OTHER"
"Why do people think this is so good and give it such a good rating?","INFORMATION SEEKING"
"It's awful!","OTHER"
"Latest version does not function correctly.","PROBLEM DISCOVERY"
"Using self hosted blog and I cannot browse media library.","PROBLEM DISCOVERY"
"Other small problems as well.","OTHER"
"I love the app, but I can't log into my self-hosted WP site with the app.","PROBLEM DISCOVERY"
"It keeps making me sign in rather than going to the dashboard.","OTHER"
"As titled.","OTHER"
"Telugu","OTHER"
"Good","OTHER"
"Kwebcare","OTHER"
"I have been maintaining my blog entirely through this app.","OTHER"
"It still won't let me add pictures because it crashes my tablet the instant i try.","FEATURE REQUEST"
"Obviously i need screenshots in my Gaming reviews.","FEATURE REQUEST"
"2.0+ is great!","OTHER"
"Love to do","OTHER"
"Very simple","OTHER"
"How to change my blog post to be viewed in my site?","INFORMATION SEEKING"
"(Sticky post) I have posting some article but If I visit my blog site, it didn't appeared although I have press the publish button, please help","OTHER"
"Don't like the additional features such as the ability to view popular WP blogs.","INFORMATION GIVING"
"Mk","OTHER"
"This is a great way to draft future blog posts and look up visitor stats, as well as checking comments and other notifications.","OTHER"
"In this new version, WYSIWYG editing is back again - I missed that!","OTHER"
"By the way, the mobile web site is at least as good as this app so be sure to check that out too.","OTHER"
"I loved this app until the last update contain virus, that's why I uninstalled it.","OTHER"
"This app save me a lot.","OTHER"
"Great app!","OTHER"
"My most favourite place","OTHER"
"Used to support self hosted WP sites.","OTHER"
"Now only works with WP sites hosted by Wordpress.","OTHER"
"Developer wont give feedback or support.","OTHER"
"Youre better off using mobile webpage to work remotely.","OTHER"
"This app is an abomination!","OTHER"
"Fresh look and easy to navigate.","OTHER"
"Was a great app but now it crashes my whole phone.","PROBLEM DISCOVERY"
"I just don't post from my phone, too much of a hassle.","OTHER"
"Over time, you guys have made this a beautiful functional app","INFORMATION GIVING"
"Good app","OTHER"
"Blogs for nakeded women","OTHER"
"Yup.","OTHER"
"Ilevelo","OTHER"
"Way better.","OTHER"
"Notifications are back up.","OTHER"
"I don't need to ninja to the admin page either.","OTHER"
"This is definitely an improvement!","OTHER"
"'Nuff said.","OTHER"
"!","OTHER"
"Good","OTHER"
"Posted a post.","OTHER"
"On blog it's showing 404 error and the image was also missing from the blog.","FEATURE REQUEST"
"!","OTHER"
"Sometimes when publishing my content is not uploaded and drafts are deleted.","OTHER"
"This very frustrating.","OTHER"
"Won't let me sign in.","OTHER"
"Even with my URL they tell me my correct password and username are wrong.","OTHER"
"It seems my account was closed without my consent.","OTHER"
"Tech support suggested I take the info and re sign up.","OTHER"
"The site say my info is already taken.","OTHER"
"Yeh, on my account.","OTHER"
"Now they're blaming a glitch.","OTHER"
"Just raked for my username a third time","OTHER"
"Very usefull","OTHER"
"Its is not downloding it is showing error has come","PROBLEM DISCOVERY"
"Why?","OTHER"
"The huge minuses, you can only use the app for one blog and you don't have an option to log off the app.","INFORMATION GIVING"
"The new update.","OTHER"
"Now I can't upload my photos.","PROBLEM DISCOVERY"
"Media error.","OTHER"
"It took me 8 hours to get 4 of five photos to upload.","OTHER"
"I had to change it to gallery etc.","INFORMATION GIVING"
"It's a mess.","OTHER"
"I just did a factory reset on my phone.","INFORMATION GIVING"
"It happened before and after I rest.","OTHER"
"I can't find the link on the website for tech support so lame.","PROBLEM DISCOVERY"
"The app was perfect before.","OTHER"
"I'm visually impaired.","OTHER"
"I could see it better.","OTHER"
"Light Blue and white is a graphic design nightmare.","OTHER"
"And it's harder for me to see the new app type (accessibility).","OTHER"
"Doesn't work on self hosted sites and gives 0 support !!!","INFORMATION SEEKING"
"I have created a site with wordpress","INFORMATION GIVING"
"Nice :)","OTHER"
"When I select view site or admin it goes to a 503 error","OTHER"
"Easy to make profile","OTHER"
"Finally I can add photos via the app!","FEATURE REQUEST"
"Sheesh!","OTHER"
"Mobile blogging was almost impossible.","PROBLEM DISCOVERY"
"I appreciate the update.","OTHER"
