component,bagofwords
org.coolreader.CoolReader,Called when activity first created Override protected void Create Bundle saved Instance State start Services Cool Reader entered super Settings Changed settings null First Start true just Created Engine this intent Receiver Broadcast public Context context Intent level Extra View Battery else initial register Filter ACTION BATTERY CHANGED Volume Control Stream Audio Manager STREAM MUSIC Donation bind Shared Preferences pref DONATIONS PREF FILE Total Donations Float TOTAL AMOUNT catch Exception exception while reading total donations from preferences Verify Error trying initialize billing service Controller Main Activity show Root Window exiting return apply String value boolean equals PROP BACKLIGHT Backlight Disabled SCREEN LOCK Integer parse Number Format Screen Duration DICTIONARY Dict BOOK SORT ORDER Browser Sort Order BROWSER SIMPLE MODE Simple Mode SHOW COVERPAGES Cover Pages Enabled PROPERTY SCAN ENABLED Scanner FONT FACE Font Face SIZE Size Option HIDE EMPTY FOLDERS Hide Empty Dirs Fullscreen fullscreen Frame update private process false file Open VIEW Action Data Path Extras extras OPEN PARAM index replace load Document Runnable Toast Cannot open book version Version Load Phone Handler stop Home wait CRDB History From Coverpage Ready Listener request Focus System Visibility notify Notifications Book Opened Last Location stopped static dump Heap Allocation Debug Memory Info info native Native Allocated Fields Current Theme Interface theme directory Updated File selected OPDS refresh Online Catalogs Recent Books Directory Properties props Props changed diff Entry Object entry Value Group Previous final task Surface Focusable Touch Layout Tool Selected item Bool Property Device Inflater inflater Title layout browser status window CURRENT OPTIONS ROOT RECENT BOOKS DIRECTORY CATALOGS SEARCH RECURSIVE EXIT Background Resource drawable background dark switch case DCMD finish break Parent LIST Find Dialog DIALOG Options scan Recursive default Manual manual callback Activities pathname Name called title find Dictionary length Character Letter Digit char pattern substring Thread instance post Internal Dictionaries About Supported Billing listener double make amount purchase Purchase Completed success product float purchased edit commit failed Found available Initialized execute initialization already Initializing SUCCESS AUDIO SERVICE volume mode Faces Position Status Bookmark position Menu send Fragment email android content SEND Type plain EXTRA SUBJECT Authors TEXT Chooser Bookmarks Loaded close Delete Confirmation confirm delete Tree remove parent history record catalog curr Callack Edit opds PREFIX http filename Listed Scanned LOCATION Store last resume after program restart param special folder Prefs LAST Editor editor notification NOTIFICATION Notice NOTIFICATOIN VERSION Level HONEYCOMB Hardware note reader menu TOOLBAR VIEWER SHORT SIDE NONE root view starts With 
org.coolreader.Dictionaries,public Dictionaries Activity activity current Dictionary default static Info List return dicts void String find null boolean Package Installed package Name Manager true catch Found Exception false Suppress Lint throws lookup dictionary switch internal case Intent intent action class Device Level Component else Flags FLAG ACTIVITY CLEAR TASK Extra data start name installed break final SEARCH ACTION colordict EXTRA QUERY FULLSCREEN android VIEW Category info softex dictan EXTERNAL DISPATCHER HISTORY DICTAN ARTICLE WORD Result REQUEST CODE aard Search request Code result RESULT CANCELED Message Unknown Error Requested Word ERROR MESSAGE 
org.coolreader.PhoneStateReceiver,Override public void Receive Context context Intent intent Telephony Manager telephony System Service TELEPHONY SERVICE Custom Phone State Listener custom listen LISTEN CALL STATE static Activity Handler Runnable handler Started 
org.coolreader.crengine.VMRuntimeHack,public boolean track Alloc long size runtime null return false total Size Object Allocation invoke Long value instanceof Boolean true catch Illegal Argument Exception Access Invocation Target Free Runtime Hack Device Info BITMAP MEMORY HACK success Class Name dalvik system Method External class Found Security Such hack does work 
org.coolreader.crengine.OptionOwner,public Base Activity Properties Layout Inflater 
org.coolreader.crengine.FileInfo,book reading state return STATE constants public Reading State Value READING SHIFT MASK param boolean Rate RATE rate File Info type folder TYPE Type void Flag flag value flags Profile PROFILE String Title Name title null length authors series filename Split archive path SEPARATOR pathname like filepath inside item static split Separator index substring else parts Archive true arcname Path exists arcsize Array List Entry entries Services Engine Items entry Directory equals itemf format Document Format Extension Size Compressed create Time break catch Exception error while contents from Display Single parent assign Number last Access language username password this object neither Recent RECENT Search SEARCH RESULT Root ROOT Special starts With Online Catalog Plugin ONLINE CATALOG PLUGIN PREFIX Book Store OPDS Best Acquisition Link instanceof LIST Shortcut SHORTCUT Books Author AUTHORS Series SERIES Rating RATING Finished FINISHED TITLE long Hidden Package absolute plain files returns archives full Base Count dirs Collection items replace Empty throw Index Bounds bounds returning find Equals Properties modified false Authors copy From clear list remove Dirs Child delete Exists directory which written Writable Write Readable Language private Sort Order resource final base comparator Comparator compare order values SORT ORDER sort Collections Files Override hash Code prime result Listed Scanned Object Class other allow Sorting 
org.coolreader.crengine.ProgressPopup,public Progress Popup Base Activity context View parent this void show popup null showing progress indicator Layout Inflater inflater from content layout network access measure Linear Params WRAP CONTENT Window Measured Width Height Background Drawable Outside Touchable true Location Gravity CENTER Interceptor Listener Override boolean Motion Event event return Dismiss hide hiding dismiss Shown Showing 
org.coolreader.crengine.ReaderViewLayout,public Tool return toolbar View Status status void update Fullscreen boolean fullscreen this request Layout Toolbar Visible Location VIEWER TOOLBAR NONE hide Fullscren Statusbar STATUS BOTTOM Settings Properties settings Cool Reader night Mode Bool PROP NIGHT MODE false LOCATION SHORT SIDE HIDE FULLSCREEN true Visibility VISIBLE GONE Night show Menu Overflow else Popup Action Handler Override Selected item activity null context content super Background create Drawable List BACK SEARCH OPTIONS BOOKMARKS FILE BROWSER ROOT TOGGLE SELECTION PAGE PERCENT PLAY FORWARD RECENT BOOKS OPEN PREVIOUS AUTOSCROLL ABOUT EXIT Params FILL PARENT Surface Focusable Touch Theme Changed Current Interface theme Button Alpha protected changed landscape Rect location LEFT LONG switch case right Measured Width break RIGHT left bottom Height layout Thread instance post Runnable Invalidating force invalidate 
org.coolreader.crengine.Activities,
org.coolreader.crengine.Bookmark,public Bookmark type percent shortcut start title Text comment time Stamp Elapsed Override hash Code final prime result null return boolean equals Object this true false Class other else String Unique switch case TYPE LAST POSITION value COMMENT CORRECTION default unknown Utils Type Percent void Start Comment changed Title Shortcut long Time Long Valid length 
org.coolreader.crengine.FileInfoChangeSource,Override public void Change File Info object boolean file Props Only Listener listener listeners 
org.coolreader.crengine.AboutDialog,private void setup Donation Button final String package Name Package Installed Enabled false Text string about donation installed else Click Listener View Override public double amount Cool Reader make About Dialog activity super Title Layout Inflater inflater from Context Host tabs layout dialog null find version Version License license Engine Instance load Resource boolean billing Supported platinum gold silver bronze iron update Total Donations Changed total Dismiss Interface coolreader Spec Indicator Resources Drawable drawable menu link Content this star emoticons next Current create equals return 
org.coolreader.crengine.FileInfoChangeListener,
org.coolreader.crengine.InterfaceTheme,public String Code return code Theme theme Dialog dialog Fullscreen Display Name Resource display Action Background Color Reading action Root Delimiter root Height Browser Status browser Toolbar boolean vertical Vertical Button Alpha toolbar Popup popup static Interface find null Themes equals Override 
org.coolreader.crengine.Scanner,public void Hide Empty Dirs boolean Scan Enabled return this Adds file children directory File Info item param base list files dirs true successful Directory String known Items null Listed Hash Count exists remove Child else Base Path pathname items Files Engine Link Absolute skipping because link continue Name starts With equals Ignore Case LOST contains engine Roots Mount Point Lower ends false scan parent format catch Exception while listing Call method thread update views content changed outside with Content Changed retrieve metadata from save into only lookup will updated info ready Callback Runable call when operation finished stopped called control allows long private final CRDB Service Local Binder Control Progress progress Runnable Background Thread ensure Array Names size Stopped break load Infos Loading Override Loaded Parsing Save Found Parse Properties instance post count Book scanning hide single properties background completion recursive subdirectories recursively current Subtree android System Clock uptime Millis Scanned create string Corrector Recursive Iterator callback length OPDS LIST SEARCH SHORTCUT Search RECENT Recent AUTHORS Authors TITLE Title SERIES Series RATING Books Rating STATE READING State Reading FINISHED Finished ONLINE CATALOG PLUGIN PREFIX Online Store Wrapper Plugin Manager Activity filename book opds root static Library package label recent books search folder author find repository series rating state reading title Lists specified returns found Parent Internal auto Cannot TIME Subtrees Tree subtree limited runtime depth empty branches Depth maximum completed Results results existing clear RESULT Resources init Scanner Entry entry Value possible mount point Download Writable Special Archive Write readonly mkdirs download downloads throw cannot created Valid Folder cool Reader ROOT 
org.coolreader.crengine.OnlineStoreLoginDialog,public Online Store Login Dialog Base Activity activity Wrapper plugin Runnable Handler super null false Display Metrics Window Manager Default this Plugin Override protected void Create Bundle saved Instance State Inflater Layout from Context View Group view inflate layout online store login dialog Image Button Back find base back Click Listener Negative Positive Register account Account Parameters Visibility GONE else final show Title Text title Description description Name Edit Password password progress Progress Popup String authenticate Authentication Callback Error error Code Message hide Toast string cannot Success successful 
org.coolreader.crengine.BackgroundThread,public static Background Thread instance null synchronized LOCK start return Handler handler Throws exception background thread final void ensure CHECK THREAD CONTEXT Exception failed throw Runtime view post tasks param Target this posted Engine size copy Runnable Override Entering Looper prepare Message message created Copying clear loop Exiting Post runnable executed suspend Long Operation Stopped Posting queue since stopped guard Adding list else delay before running millis long delayed Task Delayed instantly called from same through otherwise boolean current Callable throws Waits until pending With Integer catch posting Name Sync inside calling returned result source callable wait Completion Object quit Calling looper 
org.coolreader.crengine.NoticeDialog,public Notice Dialog Base Activity activity final Runnable Button Cancel super Current Theme Owner Layout Inflater from Context View Group layout inflate notice dialog null Title string name button find base positive Click Listener Override void dismiss negative else Visibility GONE Content 
org.coolreader.crengine.SwitchProfileDialog,public Switch Profile Dialog Cool Reader cool View reader super Resources String string action switch settings profile false Cancelable true this List Base Context current Current Item Click Listener Override void Adapter listview position long dismiss Long boolean return Clickable Focusable Touch Mode Choice CHOICE MODE SINGLE Fling Handlers Runnable 
org.coolreader.crengine.TOCItem,public Item Child Children null Array List item Parent this Index size return Count index Level Global void boolean Expanded expanded Page Percent String Name Path Chapter page else Next parent 
org.coolreader.crengine.Selection,
org.coolreader.crengine.BrowserViewLayout,public Browser View Layout Base Activity context File content Tool toolbar title super this activity Params FILL PARENT WRAP CONTENT Theme Changed Current Focusable false Touch Mode true void Title String browser Text find Interface theme Inflater inflater from remove layout status null Background Resource Toolbar Vertical request Override boolean Down Code Event event KEYCODE MENU Repeat Count menu Utils time Stamp return BACK back long duration Interval show Options Dialog else Overflow Menu finish Parent Directory 
org.coolreader.crengine.Logger,public void String Exception Level level 
org.coolreader.crengine.BookInfo,synchronized public void Shortcut Bookmark shortcut bookmark bookmarks size Type TYPE POSITION return find null update Access last Position Time Stamp System current Millis Elapsed long time Deep copy param Info source object from this file File Count Last position Start equals LAST else Index duplicate added Unique index Array List Bookmarks list item Text Comment cannot remove sort Collections Comparator Override compare Percent String Export Builder pathname Path Name append Parent title author authors COMMENT CORRECTION continue percent value length comment correction Title boolean export Exporting Output Stream stream Writer writer xfeff Cool Reader exported series close true catch Exception Cannot false 
org.coolreader.crengine.FileSystemFolders,Override public void File Info List Loaded Array list System Folders Scanner scanner this load Favorite final CRDB Service Local Binder binder NOOP return update Entries favorite boolean Move folder left Index find false increment size Loading Callback Empty last series Number create Change move neighbor neighbour remove delete null private callback else 
org.coolreader.crengine.ReaderAction,public boolean Repeat return Assign activate With Long Menu Reader Action String name Command param super this menu Item icon None NONE REPEAT static find null AVAILABLE ACTIONS equals Type type TYPE PROP SUBPATH Zone Prop Number View ZONE Code PRESS Properties settings Property NORMAL LONG Double DOUBLE Array List create actions list length item 
org.coolreader.crengine.Utils,public static long time Stamp return android System Clock uptime Millis Interval start Time String cleanup Html Tags Builder boolean inside false char Char Array true else append author Name File name null length last Space Index substring move Place copy Stream Content Output Input throws Exception total Size byte bytes Read read break write restore From Backup backup Absolute Path good exists delete rename void Creating file Utils copying been failed Corrupted Moving corrupted match Pattern text pattern textlen patternlen continue convert Case Search split Whitespace List list size equals format Authors authors Normal Names ntrim concat empty Drawable solid Color final color Gradient Series number Percent percent value Activity activity Zone java util Default Calendar Instance Date Format Application Context YEAR MONTH Elapsed hours Info item Lower create Last Position Bookmark Reading State state Rate stars   STATE READING book reading toread FINISHED finished draw Frame Canvas canvas Rect rect Paint paint left right bottom Solid Style FILL Compares strings with numbers sorted param while Sort Order transcribe found OPDS Subst Table Tables Range With Limit Description View view Sequence Device Level Method Class class invoke catch Such Illegal Argument Access Invocation Target 
org.coolreader.crengine.OnlineStoreNewAccountDialog,public Online Store Account Dialog Base Activity activity Wrapper plugin Runnable Login Handler super null false Display Metrics Window Manager Default this Plugin Override protected void Create Bundle saved Instance State Inflater Layout from Context View Group view inflate layout online store account dialog Image Button Back find base back Click Listener Negative Register Positive Title Text title Description description Name Edit login Password password repeat First first name Last last Middle middle Email email City city Phone phone Subscribe Check subscribe progress Progress Popup String trim Empty show Error Mandatory field return equals Both passwords should match boolean Checked Hash params Registration Param ACCOUNT PARAM LOGIN PASSWORD EMAIL FIRST NAME LAST MIDDLE CITY PHONE SUBSCRIBE trying register Authentication Callback error Code Message hide Toast string succesful registration Success successful 
org.coolreader.crengine.OPDSUtil,public static String Path file last Index return substring Download Task create Cool Reader cool default File Name expected Type referer Callback callback username password current null cancel final task 
org.coolreader.crengine.ColorPickerDialog,public Color Picker Dialog Base Activity activity Changed Listener listener color String title super false true Resources Title View root Layout Inflater from inflate layout picker null preview find Preview Drawable Gradient Corner Radius layers drawable frame Background Layer Seek Saturation saturation Value value Label Text label green blue float setup string options brightness update void Progress seek progress boolean User else Start Tracking Touch Stop 
org.coolreader.crengine.FindNextDlg,static public void show Dialog Base Activity cool Reader View reader final String pattern boolean case Insensitive Find Next popup Window Width Height this Anchor Surface panel Layout Inflater from Application Context inflate layout search null measure Group Params WRAP CONTENT Popup Touch Interceptor Listener Override Motion Event event Action ACTION OUTSIDE clear Selection dismiss return true false Panel find prev Click next close Focusable Code switch KEYCODE BACK DPAD LEFT RIGHT DOWN else Dismiss Background Drawable Bitmap Manager Touchable Outside Content location Location Screen Gravity CENTER HORIZONTAL 
org.coolreader.crengine.DeviceInfo,public static Level return Field Class android Build VERSION class LEVEL detected catch Security Exception Such Illegal Argument Access boolean supports Action HONEYCOMB 
org.coolreader.crengine.N2EpdController,public static void Mode region wave mode Region null Device Info EINK NOOK Controller Constructors Instance Object Main Activity Params enums Wave invoke Cool Reader catch Exception System println Failed String Init Stack Trace 
org.coolreader.crengine.OnlineStoreBookInfoDialog,public Online Store Book Info Dialog Cool Reader activity book File file super null false Display Metrics Window Manager Default this Size width Pixels height Activity Plugin Catalog Package base Services Scanner Download Directory pathname download Description Filename Name Trial trials Override protected void Create Bundle saved Instance State Inflater Layout from Context View Group view inflate layout online store info dialog Content Image Button Back find back Click Listener Negative Preview preview Title Text title Series series Authors author Login login Status status Balance balance Price price Normal normal Rating rating final image cover Minimum Height Width Bitmap create Config Coverpage draw Ready Item bitmap Drawable drawable else Visibility GONE progress Progress Popup update Exists open Logged Purchased Confirmation String string confirm purchase Runnable show Callback Error error Code Message hide Toast double Account account true refill Refill request litres parse Intent ACTION VIEW start catch Found Exception Cannot enough money reload private while loading boolean ensure directory Absolute Path return downloading Downloaded 
org.coolreader.crengine.InputDialog,public Input Dialog Base Activity activity final String title prompt boolean Number Edit Value current Handler handler super true false this Layout Inflater from Context View Group layout inflate line edit null input Text find field Seek seek goto position Progress Change Listener Override void Stop Tracking Touch Start Changed progress User value validate catch Exception Digits Instance 
org.coolreader.crengine.StatusBar,public void update Fullscreen boolean fullscreen this return request Layout Settings Properties props Text Size PROP STATUS FONT SIZE need Relayout text show Book Title Bool SHOW TITLE true Battery Time Page Number PAGE NUMBER Percent PERCENT night Mode NIGHT MODE false color Color COLOR Position indicator Typed Value COMPLEX UNIT Cool Reader changing status measure Measure Spec UNSPECIFIED content force invalidate Status context super activity Orientation VERTICAL settings Inflater inflater from Linear reader null View find title position Version Indicator Theme Changed Current Interface theme File Info book Bookmark Views 
org.coolreader.crengine.BackgroundTextureInfo,public Background Texture Info String name resource this tiled starts With index textures static from File filename null return exists Name fnlc Lower Case ends jpeg substring last Index Override hash Code final prime result boolean equals Object true false Class other else None TEXTURE 
org.coolreader.crengine.TTS,param listener call init finished return proxy private Object create Init Proxy final Listener Invocation Handler handler Override public invoke Method method args throws Throwable invoking Name equals status Integer called SUCCESS initialized true null Instance Class Loader Utterance Completed String Context context classes Found Cannot object Illegal State Exception instanciate Text Speech constructor created successfully catch Target false Argument Instantiation Access Earcon earcon filename while calling packagename resource boolean Defaults Enforced Boolean Engine Locale Language Available Speaking play queue Mode Hash params Silence long duration Package engine Pitch float pitch Rate speech void shutdown speak returned stop synthesize File Initialized static 
org.coolreader.crengine.History,public History Scanner scanner this Book Info Last Books size return null Previous void Create final CRDB Service Local Binder File file Loaded Callack callback load Loading Callback Override book index find String pathname remove boolean Recent Access From delete else Position update long time Elapsed Path Name Time info Bookmarks equals Equals List sync Runnable Items Folder Array true 
org.coolreader.crengine.DelayedExecutor,public static Delayed Executor create Background String name task true return false ASAP param execute void post final Runnable delayed milliseconds long Task Override current null Running Done else Skipping probably canceled catch Exception while executing hash Code synchronized this Cancelling pending Handler remove Callbacks Posting 
org.coolreader.crengine.Engine,storage root directories return array roots public static File Storage Directories boolean writable Only Collection Hash mounted Roots List Directory Read list length Write Array size String Mounted Point path null false contains create subdirectory specified base param diris subdiris name Existsis true force creation exist Subdir data mkdir Returns external Data Execute task Engine thread taskis execute void final Task ENGINE TASKS executing Class Simple Name Handler Background Thread instance Schedule execution post Runnable after current queue tasks done fail Exception work throws fatal Error Alert Dialog Builder Activity Message Title Cool Reader error show sleep catch Interrupted dismiss finish Progress main resource Resources Display progress dialog delay safe percent message text Millis before display Delayed object which hide cancel this schedule Show next called enable Started Style STYLE HORIZONTAL Icon else drawable logo Cancelable string please wait Shown while trying Showing Hide shown load file Input Stream cannot from open available byte fully close Bytes exists Cannot Instance Base activity Params suspend Long Operation Internal Checks whether directlry symbolic link check points symlink regular native Link folow Entry Archive Items items synchronized lock Size Integer value Compressed Hyphenation Language wanted language Dict BOOK LANGUAGE dict Dictionary private type HYPH DICT Setting engine hyphenation dictionary Method scan Book Properties Info info long start android System Clock uptime duration took Path Cover Utils Stamp Interval Draw book coverpage into bitmap buffer image will drawn resized default with author title series bytes empty font Face face authors Number number bits pixel specify eink grayscale dithering Bitmap Font Backlight Level External Settings SETTINGS NAME move Place remove Moving Absolute does Output break write delete finally under moves better place when necessary slow being moved best desired migration obsolete location older releases filename Move mkdirs normalized Corrector Possible sdpath Environment equals Mounts vold vfat ntfs exfat Process process command redirect print Stack Trace lines split Lower Case Locale asec entry matches parts starts With Uninitialize uninit find Fonts Dirs fonts Paths Scanning files Filename Filter accept ends found Collections sort Texture Available Textures internal TEXTURE Dictionaries From Files Registered continue Append textures Backgrounds backgrounds Image None Create control disable created Control 
org.coolreader.crengine.Properties,public Properties super synchronized void java util props Entry Object entry Property String Value Color color FFFFFF Bytes value Integer while length null starts With parse substring return catch Exception Bool boolean default equals true false apply Default static diff contains Override name remove Hash 
org.coolreader.crengine.ImageInfo,public Image Info width height scaled Width Height rotation Override hash Code final prime result return boolean equals Object this true null false Class other 
org.coolreader.crengine.SearchDlg,public Search Base Activity cool Reader View reader String initial Text super Resources string title search true false Cancelable this Cool Positive Button Image drawable button find action Inflater Layout from Context Dialog inflate layout dialog null Edit Case Sensitive Check case sensitive Reverse reverse 
org.coolreader.crengine.BaseActivity,Wait until database bound param ready Callback called after public void wait CRDB Service Runnable null Accessor this Engine Instance Path Corrector bind return Local Binder Properties settings Settings Manager Suppress Lint Override Window Focus Changed boolean super Device Info Level flag Fullscreen View SYSTEM FLAG LAYOUT STABLE HIDE NAVIGATION FULLSCREEN IMMERSIVE STICKY Decor System Visibility Started String Version load profile save File Palm Pixels density Density float Diagonal Inches diagonal Smartphone Interface Theme Current current theme Code find Preferred Item Height preferred Font Size update Background Typed Array obtain Styled Attributes android attr window background text Color color Foreground list Resource content else recycle Display display Default Width Application apply Screen Orientation Layout Params attrs EINK switch case Activity ORIENTATION PORTRAIT LANDSCAPE REVERSE USER default orientation From Sensor Landscape true Reverse false angle level break SENSOR Requested Configuration Flags fullscreen HONEYCOMB flags Backlight PROFILE value Disabled disabled User percent Brightness private task Base Thread instance post backlight Control execute dimming Alpha allow BRIGHTNESS BROWSER minb BACKLIGHT LEVEL PERCENT Dimming Buttons catch Exception Wake Lock Enabled Duration Minutes system minutes release Update Mode view Eink Reset Controller Interval show Toast string LENGTH LONG duration showing toast CUSTOM TOAST Content Reader PROP FONT SIZE make Text Night night Clipboard Clipboardmanager CLIPBOARD SERVICE Home Intent intent ACTION MAIN Category CATEGORY HOME start Last Generated Help Signature Shared Preferences PREF HELP edit commit Language lang Resources Metrics conf locale DEFAULT Locale code error while static Value Integer Number Format equals LOCALE LOCK parse NIGHT MODE UPDATE INTERVAL THEME final EMPTY FOLDERS Services Scanner Hide Empty Dirs Notice question action cancel Action Dialog Confirmation Alert Builder Context Positive button Click Listener Negative Title directory Updated props Props Actions Popup Menu actions Tool Handler length register Create menu size order item name Selected Browser Options Profile NUMBER PROFILES Switching from loaded notify delay Millis Dict Dictionaries Package Installed package Name Found Hardware Method Class Permanent Boolean invoke Object Illegal Argument Invocation Target Such CREAM SANDWICH 
org.coolreader.crengine.TOCDlg,private void refresh List View Adapter Base public boolean Items Enabled return true Count size Object position long Type item Current Page convert Group parent view null Inflater inflate layout current else Text page find title margin level Image expand icon String Builder Level append Child Expanded Resource drawable expanded collapsed normal Name value Stable Empty false Array Data Observer observers register unregister remove Activity cool Reader reader super Resources string Cancelable this Context Click Listener Override listview dismiss Long Clickable Focusable Touch Mode Choice CHOICE MODE SINGLE Fling Handlers Runnable 
org.coolreader.crengine.PositionIndicator,public Position Indicator Cool Reader context super Layout Params FILL PARENT WRAP CONTENT this color settings Color Settings PROP STATUS FONT COLOR void FFFFFF Shown invalidate percent return 
